127.0.0.1 - - [08/May/2018:14:56:56 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/css/animate.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/css/icomoon.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/css/salvattore.css HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/css/magnific-popup.css HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/css/style.css HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/js/jquery.min.js HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/js/jquery.waypoints.min.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/js/jquery.magnific-popup.min.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/js/salvattore.min.js HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_1.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/js/main.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_2.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_3.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_4.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_5.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_6.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_7.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:56:58 +0530] "GET /Online_Social_Network/Image/images/img_8.jpg HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [08/May/2018:14:57:02 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [08/May/2018:14:57:02 +0530] "GET /Online_Social_Network/css/animate.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/May/2018:14:57:02 +0530] "GET /Online_Social_Network/css/icomoon.css HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [08/May/2018:14:57:02 +0530] "GET /Online_Social_Network/css/magnific-popup.css HTTP/1.1" 404 1126
