127.0.0.1 - - [11/Jun/2018:22:33:23 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 144832
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/fonts/font-awesome.min.css HTTP/1.1" 200 30960
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/KD_Header2.css HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/findfriend.css HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/header.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/header2.css HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/index.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Header-1.css HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/KD_Header.css HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/KD_Header1.css HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Google-Style-Login.css HTTP/1.1" 200 1845
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Pretty-Search-Form.css HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/login.css HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/Pretty-Header.css HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/css/register.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 67742
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/js/bs-animation.js HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:27 +0530] "GET /Online_Social_Network/assets/img/5b642fb0-0c06-419c-805a-b2e79d065746.png HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:28 +0530] "GET /Online_Social_Network/assets/img/WHDQ-512095634.jpg HTTP/1.1" 200 527123
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/FirstWeb.jsp HTTP/1.1" 200 2641
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/Community-ChatComments.css HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/footer.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/home.css HTTP/1.1" 404 1127
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/Pretty-User-List.css HTTP/1.1" 404 1139
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/Pretty-Registration-Form.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/message.css HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/css/User-Tasks-and-User-Activity-Streams---List-Group-Component.css HTTP/1.1" 404 1182
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:51 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:52 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:54 +0530] "GET /Online_Social_Network/LoginWeb.jsp HTTP/1.1" 200 1440
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:54 +0530] "GET /Online_Social_Network/assets/js/jquery.min.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:54 +0530] "GET /Online_Social_Network/assets/img/avatar_2x.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:33:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:00 +0530] "POST /Online_Social_Network/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/ImagesWeb.jsp HTTP/1.1" 200 13927
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/ImagesPage/css/animate.css HTTP/1.1" 200 70992
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/ImagesPage/css/style.css HTTP/1.1" 200 170438
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/Header/HeaderStyle_h.css HTTP/1.1" 200 2576
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/ImagesPage/css/magnific-popup.css HTTP/1.1" 200 7781
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/ImagesPage/css/icomoon.css HTTP/1.1" 200 24597
0:0:0:0:0:0:0:1 - - [11/Jun/2018:22:34:01 +0530] "GET /Online_Social_Network/ImagesPage/css/salvattore.css HTTP/1.1" 200 1070
